代號,名稱,按盤價,成交金額,市值,市盈率,股息率
476,科軒動力控股,0.570,29000.0,182860000.0,,
480,香港興業國際,1.2100,579120.0,1790000000.0,,
482,聖馬丁國際,0.640,45320.0,157490000.0,,
483,包浩斯國際,0.2700,,99190000.0,8.49,
484,雲遊控股,0.8000,10740.0,137380000.0,,
485,中國華星,0.4000,,101930000.0,,
486,俄鋁,4.200,9640000.0,63810000000.0,,
487,實德環球,0.0420,,206910000.0,,
488,麗新發展,0.9700,56140.0,1400000000.0,,
491,英皇文化產業,0.031,49940.0,99610000.0,,
493,國美零售,0.0120,350670.0,875990000.0,,
496,卡森國際,0.330,4290.0,606050000.0,14.16,
497,資本策略地產,0.212,109720.0,2730000000.0,,
499,青島控股,0.209,155380.0,208690000.0,,
500,先豐服務集團,0.0680,11720.0,163430000.0,,
501,豪威集團,89.800,104080000.0,4550000000.0,23.81,0.12
505,興業合金,0.9400,59420.0,845580000.0,5.48,
506,中國食品,3.7100,15640000.0,10370000000.0,10.69,4.67
508,鼎億集團投資,0.510,338650.0,441620000.0,,
510,時富金融服務集團,0.470,97740.0,202650000.0,,
511,電視廣播,2.820,1230000.0,1310000000.0,22.20,
512,遠大醫藥,6.110,31630000.0,21680000000.0,17.24,2.77
513,恆和集團,0.178,23520.0,121590000.0,,
517,中遠海運國際,6.540,18050000.0,9580000000.0,12.43,9.48
518,同得仕（集團）,0.230,81050.0,103740000.0,,2.17
519,諾科達科技,0.157,25800.0,479650000.0,52.33,
520,呷哺呷哺,0.4150,163500.0,450760000.0,,
521,CWT INT'L,0.248,3110000.0,2820000000.0,7.61,
522,ASMPT,177.200,689600000.0,74040000000.0,81.79,0.78
524,長城天下,1.180,379800.0,232370000.0,,
525,廣深鐵路股份,2.470,28970000.0,3530000000.0,10.95,4.08
526,利時集團控股,0.101,72430.0,893240000.0,21.96,
527,瑞風新能源,0.620,2670000.0,1060000000.0,,
528,金達控股,1.190,,749310000.0,10.48,5.04
529,SIS INT'L,1.8700,,519789999.99999994,8.59,1.34
532,WKK INTL (HOLD),0.510,3600000.0,372240000.0,,
533,金利來集團,1.0900,98930.0,1060000000.0,,2.29
535,金地商置,0.121,376550.0,2009999999.9999998,,
536,貿易通,1.190,2810000.0,945610000.0,11.26,8.57
538,味千（中國）,0.990,402090.0,1080000000.0,34.02,11.41
540,迅捷環球控股,0.2000,,120000000.0,15.75,
542,中國文旅農業,0.860,539360.0,1310000000.0,24.86,
543,太平洋網絡,0.340,56920.0,386100000.0,70.83,11.76
544,大同集團,1.730,26300.0,87560000.0,,
546,阜豐集團,6.470,42200000.0,16219999999.999998,5.87,7.53
547,數字王國,0.260,169370.0,2069999999.9999998,,
548,深圳高速公路股份,7.460,6810000.0,5570000000.0,15.48,3.67
550,律齊文化,1.240,3510000.0,564860000.0,,
551,裕元集團,14.730,39630000.0,23630000000.0,7.95,8.83
552,中國通信服務,4.450,43060000.0,10640000000.0,7.62,5.64
553,南京熊貓電子股份,4.910,37010000.0,1180000000.0,374.81,0.23
554,漢思集團控股,0.210,48340.0,921330000.0,,
556,泛亞環保,0.495,360230.0,497380000.0,55.62,40.40
557,天元醫療,0.455,6370.0,181530000.0,,
558,力勁科技,2.830,3990000.0,3860000000.0,11.03,2.65
560,珠江船務,0.7000,456040.0,784810000.0,15.09,3.57
563,上實城市開發,0.2850,192460.0,1360000000.0,,
564,中創智領,17.220,28710000.0,4179999999.9999995,6.26,8.13
565,錦藝集團控股,2.710,15370000.0,7280000000.0,173.72,
567,大昌微綫集團,0.400,3540000.0,645310000.0,,
568,山東墨龍,7.350,499830000.0,1880000000.0,656.25,
570,中國中藥,1.700,24870000.0,8560000000.000001,,
571,豐德麗控股,0.050,26120.0,87790000.0,,
572,未來世界控股,0.4100,11490.0,123610000.0,,
573,稻香控股,0.285,17660.0,289080000.0,,
