代號,名稱,按盤價,成交金額,市值,市盈率,股息率
0305,五菱汽車集團控股有限公司,N/A,0,0,N/A,N/A
0306,冠忠巴士集團有限公司,N/A,0,0,N/A,N/A
0308,香港中旅國際投資有限公司,N/A,0,0,N/A,N/A
0309,新華通訊頻媒控股有限公司,N/A,0,0,N/A,N/A
0310,嘉進投資國際有限公司,N/A,0,0,N/A,N/A
0311,聯泰控股有限公司,N/A,0,0,N/A,N/A
0312,歲寶百貨控股(中國)有限公司,N/A,0,0,N/A,N/A
0313,裕田中國發展有限公司  ,N/A,0,0,N/A,N/A
0314,思派健康科技有限公司,N/A,0,0,N/A,N/A
0315,數碼通電訊集團有限公司,N/A,0,0,N/A,N/A
0316,東方海外(國際)有限公司,N/A,0,0,N/A,N/A
0317,中船海洋與防務裝備股份有限公司,N/A,0,0,N/A,N/A
0318,黃河實業有限公司,N/A,0,0,N/A,N/A
0320,金寶通集團有限公司,N/A,0,0,N/A,N/A
0321,德永佳集團有限公司,N/A,0,0,N/A,N/A
0322,康師傅控股有限公司,N/A,0,0,N/A,N/A
0323,馬鞍山鋼鐵股份有限公司,N/A,0,0,N/A,N/A
0325,布魯可集團有限公司,N/A,0,0,N/A,N/A
0326,中國星集團有限公司,N/A,0,0,N/A,N/A
0327,百富環球科技有限公司,N/A,0,0,N/A,N/A
0328,愛高集團有限公司,N/A,0,0,N/A,N/A
0329,東建國際控股有限公司,N/A,0,0,N/A,N/A
0330,思捷環球控股有限公司,N/A,0,0,N/A,N/A
0331,豐盛生活服務有限公司,N/A,0,0,N/A,N/A
0332,元亨燃氣控股有限公司,N/A,0,0,N/A,N/A
0333,黛麗斯國際有限公司,N/A,0,0,N/A,N/A
0334,華顯光電技術控股有限公司,N/A,0,0,N/A,N/A
0335,美建集團有限公司,N/A,0,0,N/A,N/A
0336,華寶國際控股有限公司,N/A,0,0,N/A,N/A
0337,綠地香港控股有限公司,N/A,0,0,N/A,N/A
0338,中國石化上海石油化工股份有限公司,N/A,0,0,N/A,N/A
0339,中國科創產業投資集團有限公司,N/A,0,0,N/A,N/A
0340,潼關黃金集團有限公司,N/A,0,0,N/A,N/A
0341,大家樂集團有限公司,N/A,0,0,N/A,N/A
0343,文化傳信集團有限公司,N/A,0,0,N/A,N/A
0345,維他奶國際集團有限公司,N/A,0,0,N/A,N/A
0346,延長石油國際有限公司,N/A,0,0,N/A,N/A
0347,鞍鋼股份有限公司,N/A,0,0,N/A,N/A
0348,中國智能健康控股有限公司,N/A,0,0,N/A,N/A
0351,亞洲能源物流集團有限公司  ,N/A,0,0,N/A,N/A
0352,富陽(中國)控股有限公司,N/A,0,0,N/A,N/A
0353,能源國際投資控股有限公司,N/A,0,0,N/A,N/A
0354,中軟國際有限公司,N/A,0,0,N/A,N/A
0355,世紀城市國際控股有限公司,N/A,0,0,N/A,N/A
0356,鼎立資本有限公司,N/A,0,0,N/A,N/A
0357,海南美蘭國際空港股份有限公司,N/A,0,0,N/A,N/A
0358,江西銅業股份有限公司,N/A,0,0,N/A,N/A
0360,新焦點汽車技術控股有限公司,N/A,0,0,N/A,N/A
0361,順龍控股有限公司,N/A,0,0,N/A,N/A
0362,中國天化工集團有限公司,N/A,0,0,N/A,N/A
0363,上海實業控股有限公司,N/A,0,0,N/A,N/A
0365,芯成科技控股有限公司,N/A,0,0,N/A,N/A
0366,陸氏集團(越南控股)有限公司,N/A,0,0,N/A,N/A
0367,莊士機構國際有限公司,N/A,0,0,N/A,N/A
0368,德合集團控股有限公司,N/A,0,0,N/A,N/A
0369,永泰地產有限公司,N/A,0,0,N/A,N/A
0370,港仔機器人集團控股有限公司,N/A,0,0,N/A,N/A
0371,北控水務集團有限公司,N/A,0,0,N/A,N/A
0372,保德國際發展企業有限公司,N/A,0,0,N/A,N/A
0373,聯合集團有限公司,N/A,0,0,N/A,N/A
0374,四洲集團有限公司,N/A,0,0,N/A,N/A
0375,YGM 貿易有限公司,N/A,0,0,N/A,N/A
0376,雲鋒金融集團有限公司,N/A,0,0,N/A,N/A
0377,中國華君集團有限公司,N/A,0,0,N/A,N/A
0379,中國恒嘉融資租賃集團有限公司,N/A,0,0,N/A,N/A
0380,中國管業集團有限公司,N/A,0,0,N/A,N/A
0381,權識國際集團股份有限公司,N/A,0,0,N/A,N/A
0382,中滙集團控股有限公司,N/A,0,0,N/A,N/A
0383,天安卓健有限公司,N/A,0,0,N/A,N/A
0384,中國燃氣控股有限公司,N/A,0,0,N/A,N/A
0385,建聯集團有限公司,N/A,0,0,N/A,N/A
0386,中國石油化工股份有限公司,N/A,0,0,N/A,N/A
0387,力豐(集團)有限公司,N/A,0,0,N/A,N/A
0388,香港交易及結算所有限公司,N/A,0,0,N/A,N/A
0389,中國通天酒業集團有限公司,N/A,0,0,N/A,N/A
0390,中國中鐵股份有限公司,N/A,0,0,N/A,N/A
0391,美亞娛樂資訊集團有限公司,N/A,0,0,N/A,N/A
0392,北京控股有限公司,N/A,0,0,N/A,N/A
0393,旭日企業有限公司,N/A,0,0,N/A,N/A
0396,興利(香港)控股有限公司,N/A,0,0,N/A,N/A
0397,嬴集團控股有限公司,N/A,0,0,N/A,N/A
0398,東方表行集團有限公司,N/A,0,0,N/A,N/A
0399,星太鏈集團有限公司,N/A,0,0,N/A,N/A
0400,硬蛋創新,N/A,0,0,N/A,N/A
0401,萬嘉集團控股有限公司,N/A,0,0,N/A,N/A
0403,星光集團有限公司,N/A,0,0,N/A,N/A
0406,有利集團有限公司,N/A,0,0,N/A,N/A
0408,葉氏化工集團有限公司,N/A,0,0,N/A,N/A
0410,SOHO中國有限公司,N/A,0,0,N/A,N/A
0411,南順(香港)有限公司,N/A,0,0,N/A,N/A
0412,山高控股集團有限公司,N/A,0,0,N/A,N/A
0413,南華集團控股有限公司,N/A,0,0,N/A,N/A
0417,謝瑞麟珠寶(國際)有限公司,N/A,0,0,N/A,N/A
