volatility_threshold,bullish_ratio_threshold,strong_bullish_min,bullish_count_min,stop_loss_buffer,avg_score,stocks_count
0.18,0.5,2,5,0.98,0.6175871497884061,79
0.18,0.5,2,5,0.97,0.6175871497884061,79
0.18,0.5,2,5,0.99,0.6175871497884061,79
0.12,0.6,2,4,0.97,0.6174859018527578,79
0.12,0.6,2,4,0.98,0.6174859018527578,79
0.12,0.6,2,4,0.99,0.6174859018527578,79
0.14,0.65,1,5,0.98,0.6169820812268787,79
0.14,0.65,1,5,0.99,0.6169820812268787,79
0.14,0.65,1,5,0.97,0.6169820812268787,79
0.14,0.55,1,5,0.97,0.6168009266160207,79
0.14,0.55,1,5,0.98,0.6168009266160207,79
0.14,0.55,1,5,0.99,0.6168009266160207,79
0.1,0.55,1,4,0.99,0.6159383578702883,79
0.1,0.55,1,4,0.97,0.6159383578702883,79
0.1,0.55,1,4,0.98,0.6159383578702883,79
0.1,0.7,3,3,0.98,0.6156749966023873,79
0.1,0.7,3,3,0.97,0.6156749966023873,79
0.1,0.7,3,3,0.99,0.6156749966023873,79
0.16,0.7,3,4,0.99,0.6151246804497411,79
0.16,0.7,3,4,0.98,0.6151246804497411,79
0.16,0.7,3,4,0.97,0.6151246804497411,79
0.18,0.55,2,5,0.99,0.6150653609373079,79
0.18,0.55,2,5,0.98,0.6150653609373079,79
0.18,0.55,2,5,0.97,0.6150653609373079,79
0.12,0.55,2,4,0.97,0.6143844608900395,79
0.12,0.55,2,4,0.99,0.6143844608900395,79
0.12,0.55,2,4,0.98,0.6143844608900395,79
0.14,0.7,1,5,0.98,0.6139859489889008,79
0.14,0.7,1,5,0.99,0.6139859489889008,79
0.14,0.7,1,5,0.97,0.6139859489889008,79
0.14,0.6,3,4,0.97,0.6138648082852749,79
0.14,0.6,3,4,0.98,0.6138648082852749,79
0.14,0.6,3,4,0.99,0.6138648082852749,79
0.14,0.5,1,5,0.97,0.613503137585208,79
0.14,0.5,1,5,0.99,0.613503137585208,79
0.14,0.5,1,5,0.98,0.613503137585208,79
0.1,0.65,3,3,0.98,0.6130489386587298,79
0.1,0.65,3,3,0.97,0.6130489386587298,79
0.1,0.65,3,3,0.99,0.6130489386587298,79
0.1,0.5,1,4,0.97,0.612517577577249,79
0.1,0.5,1,4,0.99,0.612517577577249,79
0.1,0.5,1,4,0.98,0.612517577577249,79
0.18,0.6,2,5,0.97,0.6124250780906566,79
0.18,0.6,2,5,0.99,0.6124250780906566,79
0.18,0.6,2,5,0.98,0.6124250780906566,79
0.12,0.5,2,4,0.98,0.6110441608032235,79
0.12,0.5,2,4,0.99,0.6110441608032235,79
0.12,0.5,2,4,0.97,0.6110441608032235,79
0.14,0.65,3,4,0.97,0.6110000787745365,79
0.14,0.65,3,4,0.99,0.6110000787745365,79
0.14,0.65,3,4,0.98,0.6110000787745365,79
0.14,0.55,3,4,0.99,0.6108580743795167,79
