sno,TP12,TP1,TP2,TP1C,CL1,BY1
6633.HK,0,0,1,0,0,0
6858.HK,1,0,0,0,0,0
6877.HK,0,0,0,0,1,0
6885.HK,0,0,1,0,0,0
6893.HK,2,0,0,0,0,0
6918.HK,1,0,0,0,0,0
6928.HK,1,0,0,0,0,0
6988.HK,0,0,0,0,0,1
8005.HK,1,0,0,0,0,0
8006.HK,0,0,0,0,2,0
8007.HK,0,0,0,1,0,1
8017.HK,1,0,0,0,0,0
8029.HK,0,0,0,0,1,0
8031.HK,0,0,0,0,1,0
8033.HK,0,0,1,1,0,0
8041.HK,1,0,0,1,0,0
8042.HK,1,0,0,0,0,0
8047.HK,0,0,0,0,3,0
8048.HK,1,0,0,1,0,0
8050.HK,1,0,0,0,1,0
8051.HK,1,0,0,0,0,0
8052.HK,0,0,0,0,0,1
8063.HK,1,0,0,0,0,0
8066.HK,2,0,0,0,1,0
8072.HK,0,0,0,0,2,0
8081.HK,1,0,0,0,0,0
8082.HK,0,0,0,0,1,0
8087.HK,1,0,0,0,1,0
8092.HK,1,0,0,0,0,0
8095.HK,1,0,0,0,0,0
8103.HK,1,0,0,1,1,0
8111.HK,1,0,1,0,1,0
8113.HK,0,0,0,0,1,0
8118.HK,0,1,0,0,0,0
8120.HK,1,0,1,0,0,0
8123.HK,1,0,0,1,0,0
8128.HK,1,0,0,0,0,0
8130.HK,0,0,0,0,1,0
8133.HK,2,0,0,0,0,0
8136.HK,0,1,0,0,0,0
8139.HK,0,0,1,0,1,0
8169.HK,0,0,1,0,0,0
8172.HK,0,0,0,0,1,0
8179.HK,0,0,1,0,0,0
8186.HK,0,0,0,0,1,0
8187.HK,1,0,0,0,0,0
8191.HK,0,0,0,0,1,0
8193.HK,0,0,0,0,1,0
8201.HK,1,0,0,0,1,0
8203.HK,0,0,0,0,1,0
8219.HK,1,0,0,0,0,0
8222.HK,0,0,0,1,2,0
8223.HK,0,0,0,0,1,0
8227.HK,0,0,1,0,0,0
8246.HK,0,0,0,1,0,0
8250.HK,1,0,0,0,0,0
8270.HK,1,0,0,0,0,0
8277.HK,0,0,0,1,0,0
8293.HK,0,0,0,1,0,0
8296.HK,1,0,0,0,1,0
8311.HK,0,0,0,0,1,0
8337.HK,1,0,0,0,2,0
8340.HK,0,0,0,0,1,0
8348.HK,0,0,0,0,2,0
8349.HK,0,0,0,0,1,0
8372.HK,0,0,0,0,1,0
8379.HK,1,0,0,0,0,0
8385.HK,0,0,0,0,2,0
8400.HK,1,0,0,0,0,0
8403.HK,1,0,0,0,0,0
8406.HK,0,0,0,0,1,0
8418.HK,0,0,0,0,1,0
8431.HK,0,0,0,0,1,0
8436.HK,1,0,0,0,0,0
8452.HK,0,0,0,0,1,0
8456.HK,1,0,0,0,0,0
8473.HK,0,0,1,0,1,0
8481.HK,0,0,0,0,1,0
8482.HK,1,0,0,0,0,0
8487.HK,1,0,0,0,0,0
8521.HK,0,0,0,1,0,0
8525.HK,0,0,1,0,0,0
8536.HK,1,0,0,0,0,0
8620.HK,0,0,0,0,1,0
8631.HK,1,0,0,0,0,0
8645.HK,1,0,0,0,0,0
8659.HK,1,0,0,0,0,0
9663.HK,0,0,0,1,0,0
9991.HK,0,0,0,0,1,0
