sno,TP12,TP1,TP2,TP1C,CL1,BY1,,,
0927.HK,1,0,0,0,2,0,3,33.33%,
0928.HK,2,1,0,0,7,1,11,27.27%,
0929.HK,0,0,1,1,2,0,4,25.00%,
0932.HK,0,0,0,2,3,0,5,0.00%,
0936.HK,0,0,0,1,1,0,2,0.00%,
0943.HK,0,0,1,1,1,0,3,33.33%,
0947.HK,2,0,0,1,1,0,4,50.00%,
0948.HK,1,0,0,0,0,1,2,50.00%,
0950.HK,1,0,2,0,2,0,5,60.00%,
0951.HK,2,0,0,1,3,1,7,28.57%,
0952.HK,0,0,0,0,2,1,3,0.00%,
0953.HK,0,1,0,0,2,2,5,20.00%,
0954.HK,2,1,0,0,1,0,4,75.00%,
0959.HK,0,1,1,3,3,1,9,22.22%,
0969.HK,0,0,0,1,2,1,4,0.00%,
0970.HK,1,0,0,0,6,1,8,12.50%,
0974.HK,0,0,0,0,0,1,1,0.00%,
0976.HK,2,0,0,1,0,0,3,66.67%,
0979.HK,0,1,0,0,1,1,3,33.33%,
0980.HK,2,1,0,1,2,1,7,42.86%,
0983.HK,1,0,0,2,5,1,9,11.11%,
0984.HK,0,0,0,0,2,2,4,0.00%,
0986.HK,0,0,0,0,3,0,3,0.00%,
0987.HK,4,0,1,0,2,0,7,71.43%,
0993.HK,2,0,0,1,2,0,5,40.00%,
0994.HK,0,1,0,0,0,1,2,50.00%,
1000.HK,0,0,0,2,2,0,4,0.00%,
1001.HK,0,1,0,0,2,1,4,25.00%,
1002.HK,0,0,0,0,4,1,5,0.00%,
1003.HK,1,1,0,1,2,2,7,28.57%,
1004.HK,1,1,0,0,3,0,5,40.00%,
1005.HK,1,2,0,0,1,0,4,75.00%,
1007.HK,0,0,0,0,1,0,1,0.00%,
1008.HK,1,0,0,1,1,2,5,20.00%,
1009.HK,0,1,0,0,3,2,6,16.67%,
1010.HK,0,0,0,0,2,0,2,0.00%,
1011.HK,3,0,0,0,2,1,6,50.00%,
1013.HK,1,0,0,0,0,1,2,50.00%,
1020.HK,0,1,0,0,1,2,4,25.00%,
1022.HK,1,0,0,0,3,0,4,25.00%,
1023.HK,0,0,0,0,4,0,4,0.00%,
1025.HK,1,0,0,1,0,1,3,33.33%,
1026.HK,2,0,0,1,1,1,5,40.00%,
1028.HK,0,0,0,1,1,2,4,0.00%,
1029.HK,1,0,0,0,2,0,3,33.33%,
1037.HK,0,0,0,0,2,0,2,0.00%,
1039.HK,1,0,0,0,3,0,4,25.00%,
1045.HK,1,0,0,0,3,1,5,20.00%,
1046.HK,1,0,0,0,5,1,7,14.29%,
1049.HK,1,0,0,0,4,0,5,20.00%,
1053.HK,1,0,1,0,1,1,4,50.00%,
1057.HK,1,1,0,0,0,1,3,66.67%,
1058.HK,2,0,2,0,2,0,6,66.67%,
1059.HK,1,1,0,0,1,1,4,50.00%,
1062.HK,0,0,0,1,3,1,5,0.00%,
1063.HK,1,0,0,0,3,2,6,16.67%,
1065.HK,2,0,0,2,5,0,9,22.22%,
1068.HK,4,0,2,1,3,0,10,60.00%,
1069.HK,0,0,0,2,1,3,6,0.00%,
1073.HK,1,0,0,0,1,0,2,50.00%,
1075.HK,2,0,0,0,2,2,6,33.33%,
1079.HK,1,0,0,1,2,4,8,12.50%,
1080.HK,1,0,0,1,3,1,6,16.67%,
1082.HK,0,0,0,1,2,0,3,0.00%,
1084.HK,1,0,0,1,0,0,2,50.00%,
1085.HK,0,1,0,0,2,1,4,25.00%,
1087.HK,2,1,0,0,2,0,5,60.00%,
1090.HK,1,0,0,0,1,0,2,50.00%,
1094.HK,0,0,0,0,1,1,2,0.00%,
1097.HK,0,0,1,2,0,1,4,25.00%,
1098.HK,1,1,0,1,4,2,9,22.22%,
1100.HK,1,1,1,0,3,0,6,50.00%,
1101.HK,2,0,0,0,1,0,3,66.67%,
1102.HK,3,0,0,0,0,0,3,100.00%,
1105.HK,0,0,0,0,1,2,3,0.00%,
1108.HK,1,1,0,0,3,0,5,40.00%,
1110.HK,0,1,0,0,3,2,6,16.67%,
1116.HK,0,0,0,0,1,0,1,0.00%,
1118.HK,0,0,0,0,3,2,5,0.00%,
1119.HK,3,0,0,1,3,1,8,37.50%,
1120.HK,0,0,0,0,1,0,1,0.00%,
1122.HK,2,0,0,2,0,0,4,50.00%,
1123.HK,3,0,0,0,0,0,3,100.00%,
1129.HK,1,0,0,2,5,0,8,12.50%,
1130.HK,2,0,0,1,3,0,6,33.33%,
1132.HK,3,0,0,0,2,1,6,50.00%,
1134.HK,0,0,0,0,1,0,1,0.00%,
1137.HK,1,0,0,2,4,0,7,14.29%,
1141.HK,2,0,1,1,3,2,9,33.33%,
1143.HK,1,0,0,0,2,0,3,33.33%,
1145.HK,1,0,1,0,2,0,4,50.00%,
1146.HK,0,0,0,0,0,1,1,0.00%,
1148.HK,1,0,0,0,2,1,4,25.00%,
1150.HK,1,0,0,0,1,2,4,25.00%,
1152.HK,1,0,1,1,2,0,5,40.00%,
1153.HK,0,0,0,0,1,0,1,0.00%,
1159.HK,2,1,0,1,2,1,7,42.86%,
1161.HK,0,0,1,0,0,0,1,100.00%,
1162.HK,1,0,0,0,0,0,1,100.00%,
1163.HK,0,2,0,0,0,0,2,100.00%,
1165.HK,0,0,0,0,3,0,3,0.00%,
1166.HK,0,0,0,0,3,0,3,0.00%,
1170.HK,2,0,0,0,1,0,3,66.67%,
1172.HK,1,0,0,0,2,3,6,16.67%,
1173.HK,1,1,0,0,0,0,2,100.00%,
1180.HK,1,0,0,0,3,0,4,25.00%,
1181.HK,0,1,1,0,0,0,2,100.00%,
1182.HK,2,0,0,0,1,3,6,33.33%,
1183.HK,0,0,0,0,3,1,4,0.00%,
1185.HK,1,0,0,2,0,1,4,25.00%,
1188.HK,2,0,1,0,0,0,3,100.00%,
1189.HK,0,0,1,0,1,0,2,50.00%,
1195.HK,1,0,0,0,3,1,5,20.00%,
