股票編號,股票名稱,行業編號,現價#,升跌,升跌(%),成交量,成交額,市盈率,市賬率,收益率,市值,股票編號_df4,流動比率,速動比率,資產回報率,股本回報率,毛利率,邊際利潤率,派息比率,債務股本比率,截至,股票編號_df6,收入,年度收入增長,經營溢利,經營利益率,股東應佔溢利,邊際利潤率_df6,每股盈利,每股盈利年度增長,截至_df6,sno,數字市值,type
00700.HK,騰訊控股,070201,484.000,+2.400,+0.498%,2.58千萬,125.08億,17.57,3.44,1.10%,"44,158.87億",00700.HK,1.47,1.47,7.30%,14.25%,48.13%,18.92%,25.45%,45.91%,2023/12,00700.HK,"6,676.02億",6.000%,"1,754.73億",26.284%,"1,263.00億",18.918%,13.358,-40.065%,2023/12,0700.HK,4415887000000.0,L
00728.HK,中國電信,110101,4.830,+0.050,+1.046%,3.59千萬,1.72億,11.96,0.86,6.22%,670.28億,00728.HK,0.55,0.54,3.64%,6.87%,100.00%,5.93%,70.67%,14.72%,2023/12,00728.HK,"5,629.55億",3.000%,407.00億,7.230%,333.75億,5.929%,0.362,6.889%,2023/12,0728.HK,67028000000.0,L
00753.HK,中國國航,100501,4.570,-0.030,-0.652%,4.48千萬,2.06億,無盈利,1.69,0.00%,226.47億,00753.HK,0.29,0.26,-0.31%,-2.79%,100.00%,-0.74%,N/A,629.63%,2023/12,00753.HK,"1,627.88億",156.000%,31.67億,2.048%,-11.38億,-0.736%,-0.074,97.671%,2023/12,0753.HK,22647000000.0,L
00762.HK,中國聯通,110101,7.070,+0.020,+0.284%,1.59千萬,1.12億,9.34,0.53,6.51%,"2,163.29億",00762.HK,0.60,0.59,2.83%,5.33%,100.00%,5.03%,55.18%,13.21%,2023/12,00762.HK,"4,084.41億",2.000%,223.91億,5.482%,205.27億,5.026%,0.669,7.773%,2023/12,0762.HK,216329000000.0,L
00772.HK,閱文集團,100203,25.420,-0.140,-0.548%,3.02百萬,7.67千萬,無盈利,1.33,0.00%,259.66億,00772.HK,3.11,2.91,3.47%,4.23%,48.08%,11.48%,N/A,1.25%,2023/12,00772.HK,76.86億,-10.000%,7.78億,10.116%,8.82億,11.479%,0.877,29.563%,2023/12,0772.HK,25966000000.000004,L
00780.HK,同程旅行,100403,18.000,-0.250,-1.370%,8.04百萬,1.44億,15.74,1.69,1.39%,423.75億,00780.HK,1.25,1.25,4.90%,8.78%,73.45%,13.06%,19.83%,17.02%,2023/12,00780.HK,130.41億,75.000%,20.49億,15.714%,17.04億,13.064%,0.756,N/A,2023/12,0780.HK,42375000000.0,L
00788.HK,中國鐵塔,110101,10.680,+0.050,+0.470%,1.61千萬,1.72億,14.42,0.83,4.75%,498.37億,00788.HK,1.22,1.22,2.99%,4.93%,100.00%,10.37%,67.01%,47.86%,2023/12,00788.HK,"1,030.53億",N/A,158.97億,15.426%,106.88億,10.371%,0.612,7.797%,2023/12,0788.HK,49837000000.0,L
00800.HK,文遠知行－Ｗ,100509,20.220,+0.400,+2.018%,8.53百萬,1.70億,無盈利,2.36,0.00%,207.68億,00800.HK,14.33,14.32,1.44%,1.57%,74.30%,35.65%,N/A,N/A,2023/12,00800.HK,7.52千萬,-15.000%,7.15百萬,9.513%,2.68千萬,35.650%,0.010,74.513%,2023/12,0800.HK,20768000000.0,L
00836.HK,華潤電力,120101,18.250,-0.520,-2.770%,1.96千萬,3.60億,6.51,0.85,6.18%,944.81億,00836.HK,0.59,0.54,3.41%,12.95%,100.00%,10.65%,61.79%,196.64%,2023/12,00836.HK,"1,033.34億",N/A,181.98億,17.611%,110.03億,10.648%,2.290,56.849%,2023/12,0836.HK,94481000000.0,L
00857.HK,中國石油股份,030201,10.750,-0.390,-3.501%,2.32億,24.93億,11.23,1.22,4.77%,"2,268.13億",00857.HK,0.96,0.69,5.85%,11.14%,100.00%,5.35%,50.00%,28.57%,2023/12,00857.HK,"33,006.71億",-9.000%,"2,581.18億",7.820%,"1,766.48億",5.352%,0.965,5.570%,2023/12,0857.HK,226813000000.0,L
00867.HK,康哲藥業,050202,13.380,-0.160,-1.182%,4.00百萬,5.35千萬,19.53,1.69,2.44%,326.41億,00867.HK,4.29,3.98,13.54%,15.47%,76.24%,29.96%,40.00%,8.39%,2023/12,00867.HK,87.84億,-14.000%,28.49億,32.431%,26.32億,29.962%,1.073,-28.356%,2023/12,0867.HK,32641000000.000004,L
00868.HK,信義玻璃,060104,9.790,-0.310,-3.069%,1.67千萬,1.62億,14.12,1.06,3.47%,433.12億,00868.HK,1.20,0.86,10.56%,15.01%,32.14%,20.02%,48.76%,22.91%,2023/12,00868.HK,267.99億,4.000%,56.43億,21.058%,53.65億,20.020%,1.292,2.045%,2023/12,0868.HK,43312000000.0,L
