sno,TP123,TP12,TP1,TP2,TP3,TP1C,CL1,BY1,TOTAL,WR
3330.HK,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,100.0
3336.HK,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
3337.HK,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,50.0
3339.HK,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
3369.HK,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,100.0
3396.HK,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,50.0
3600.HK,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
3613.HK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
3618.HK,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
3633.HK,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
3677.HK,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
3698.HK,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
3759.HK,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
3788.HK,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,50.0
3813.HK,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,100.0
3868.HK,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
3877.HK,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
3896.HK,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
3898.HK,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
3899.HK,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,50.0
3918.HK,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
3931.HK,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0
3969.HK,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0
3983.HK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
3996.HK,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0
6110.HK,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0
6198.HK,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,100.0
6288.HK,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,50.0
6601.HK,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
6616.HK,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,100.0
6669.HK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0
6808.HK,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,100.0
6869.HK,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
6889.HK,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
6896.HK,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,100.0
6929.HK,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
6993.HK,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,5.0,40.0
8137.HK,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,33.33
