sno,TP123,TP12,TP1,TP2,TP3,TP1C,CL1,TU1,BY1,TOTAL,WR
0669.HK,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0
0700.HK,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,100.0
0728.HK,1.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,83.33
0753.HK,2.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,6.0,66.67
0762.HK,1.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,6.0,66.67
0772.HK,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0
0788.HK,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,100.0
0836.HK,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,100.0
0857.HK,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,75.0
0867.HK,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,66.67
0868.HK,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,4.0,50.0
0883.HK,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,80.0
0941.HK,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,100.0
0966.HK,3.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,7.0,71.43
0981.HK,1.0,1.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,7.0,85.71
0992.HK,2.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,4.0,75.0
0998.HK,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,50.0
