股票編號,股票名稱,行業編號,現價#,升跌,升跌(%),成交量,成交額,市盈率,市賬率,收益率,市值,股票編號_df4,流動比率,速動比率,資產回報率,股本回報率,毛利率,邊際利潤率,派息比率,債務股本比率,截至,股票編號_df6,收入,年度收入增長,經營溢利,經營利益率,股東應佔溢利,邊際利潤率_df6,每股盈利,每股盈利年度增長,截至_df6,sno,數字市值
03322.HK,永嘉集團,020605,0.213,0.000,0.000%,11.20萬,2.30萬,無盈利,0.20,0.00%,2.74億,03322.HK,1.40,0.77,-13.26%,-25.68%,16.40%,-12.21%,N/A,50.97%,2023/12,03322.HK,30.74億,-24.000%,-2.31億,-7.527%,-3.75億,-12.210%,-0.292,N/A,2023/12,3322.HK,274000000.0
03818.HK,中國動向,020605,0.490,-0.010,-2.000%,2.80百萬,1.39百萬,12.93,0.29,5.47%,28.89億,03818.HK,9.01,8.44,-6.56%,-7.05%,68.36%,-36.66%,-11.19%,0.43%,2024/03,03818.HK,18.81億,-1.000%,-8.39億,-44.622%,-6.90億,-36.660%,-0.118,N/A,2024/03,3818.HK,2889000000.0
06110.HK,滔搏,020605,3.370,0.000,0.000%,5.03百萬,1.69千萬,15.21,2.16,8.93%,208.98億,06110.HK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,06110.HK,314.16億,1.000%,30.26億,9.631%,24.03億,7.649%,0.388,16.006%,2024/02,6110.HK,20898000000.0
08041.HK,中微智碼,020605,0.810,0.000,0.000%,8.00萬,6.48萬,無盈利,N/A,0.00%,6.64億,08041.HK,2.00,1.93,-1.97%,-2.34%,25.49%,-2.04%,N/A,1.49%,2024/06,08041.HK,5.85千萬,-18.000%,-1.01百萬,-1.730%,-1.20百萬,-2.043%,-0.002,21.053%,2024/06,8041.HK,664000000.0
82020.HK,安踏體育－Ｒ,020605,75.100,-1.650,-2.150%,3.00千,22.57萬,20.35,4.13,2.39%,"2,108.22億",82020.HK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,82020.HK,623.56億,16.000%,153.67億,24.644%,102.36億,16.415%,3.690,30.851%,2023/12,82020.HK,210821999999.99997
82331.HK,李寧－Ｒ,020605,16.000,-0.310,-1.901%,3.45萬,55.21萬,12.99,1.72,3.42%,413.57億,82331.HK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,82331.HK,275.98億,6.000%,35.59億,12.896%,31.87億,11.547%,1.232,-20.704%,2023/12,82331.HK,41357000000.0
00418.HK,方正控股,070205,0.840,-0.030,-3.448%,79.80萬,67.84萬,21.05,0.90,0.00%,9.78億,00418.HK,3.39,3.11,4.07%,5.43%,49.37%,6.08%,N/A,0.31%,2023/12,00418.HK,9.82億,2.000%,5.83千萬,5.938%,5.98千萬,6.085%,0.050,72.414%,2023/12,0418.HK,977999999.9999999
00439.HK,光啟科學,070205,1.280,-0.060,-4.478%,19.99萬,26.02萬,無盈利,0.29,0.00%,7.88億,00439.HK,2.76,2.68,-0.40%,-0.49%,17.65%,-8.77%,N/A,7.73%,2023/12,00439.HK,8.31千萬,58.000%,-9.59百萬,-11.529%,-7.30百萬,-8.774%,-0.012,89.302%,2023/12,0439.HK,788000000.0
00771.HK,自動系統,070205,0.830,-0.020,-2.353%,16.00萬,13.18萬,4.63,0.30,3.61%,6.92億,00771.HK,1.92,1.53,4.22%,6.03%,10.42%,5.56%,19.05%,1.03%,2023/12,00771.HK,23.60億,6.000%,1.51億,6.380%,1.31億,5.563%,0.158,29.204%,2023/12,0771.HK,692000000.0
00856.HK,偉仕佳杰,070205,8.710,-0.380,-4.180%,5.51百萬,4.82千萬,11.51,1.44,2.95%,124.54億,00856.HK,1.24,0.81,2.63%,11.21%,4.73%,1.25%,39.16%,102.67%,2023/12,00856.HK,738.91億,-4.000%,14.35億,1.942%,9.22億,1.248%,0.656,12.846%,2023/12,0856.HK,12454000000.0
