sno,TP123,TP12,TP1,TP2,TP3,TP1C,CL1,BY1,TOTAL,WR
0863.HK,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,100.0
0866.HK,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,5.0,80.0
0874.HK,1.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,7.0,42.86
0880.HK,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0,25.0
0881.HK,2.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,7.0,42.86
0882.HK,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,100.0
0900.HK,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,100.0
0902.HK,4.0,0.0,0.0,1.0,1.0,2.0,5.0,0.0,13.0,46.15
0909.HK,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,50.0
0914.HK,1.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,6.0,50.0
0916.HK,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,40.0
0921.HK,3.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,7.0,57.14
0931.HK,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,5.0,80.0
0934.HK,2.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,6.0,83.33
0956.HK,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,4.0,50.0
0975.HK,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,100.0
0990.HK,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,5.0,0.0
0991.HK,3.0,1.0,0.0,0.0,1.0,0.0,4.0,2.0,11.0,45.45
0995.HK,5.0,1.0,1.0,1.0,1.0,0.0,5.0,0.0,14.0,64.29
1033.HK,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,4.0,75.0
1050.HK,3.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,10.0,60.0
1052.HK,1.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,6.0,50.0
1055.HK,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,5.0,40.0
1060.HK,1.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,7.0,28.57
1061.HK,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,5.0,0.0
1066.HK,1.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,5.0,40.0
1070.HK,3.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,6.0,50.0
1071.HK,2.0,2.0,1.0,0.0,0.0,2.0,2.0,0.0,9.0,55.56
1072.HK,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,5.0,40.0
1083.HK,2.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,7.0,42.86
1091.HK,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,75.0
1099.HK,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,5.0,40.0
1104.HK,1.0,0.0,1.0,0.0,1.0,1.0,6.0,2.0,12.0,25.0
1112.HK,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,25.0
1114.HK,5.0,0.0,0.0,0.0,2.0,0.0,4.0,1.0,12.0,58.33
1115.HK,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,66.67
