sno,TP123,TP12,TP1,TP2,TP3,TP1C,CL1,TU1,BY1,TOTAL,WR
1766.HK,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,66.67
1772.HK,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
1773.HK,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
1782.HK,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,50.0
1788.HK,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,100.0
1789.HK,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,66.67
1797.HK,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
1798.HK,0.0,1.0,5.0,0.0,0.0,0.0,4.0,1.0,0.0,10.0,60.0
1799.HK,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1800.HK,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
1811.HK,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,33.33
1837.HK,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,33.33
1848.HK,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,50.0
1854.HK,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,50.0
1860.HK,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,100.0
1866.HK,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,100.0
1872.HK,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1873.HK,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0
1877.HK,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,100.0
1880.HK,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,50.0
1896.HK,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,100.0
1899.HK,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,75.0
1907.HK,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,33.33
1910.HK,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,66.67
