code,Stock Code,Name of Securities
01075,1075,CAPINFO
01079,1079,PINE TECH
01080,1080,SHENGLI PIPE
01082,1082,BDV EDU INTL
01083,1083,TG SMART ENERGY
01084,1084,GREEN FRESH BIO
01085,1085,HXTL
01086,1086,GOODBABY INTL
01087,1087,INVESTECH HLDGS
01088,1088,CHINA SHENHUA
01090,1090,DA MING INT'L
01091,1091,SOUTH MANGANESE
01093,1093,CSPC PHARMA
01094,1094,CHERISH SUN
01097,1097,I-CABLE COMM
01098,1098,ROAD KING INFRA
01099,1099,SINOPHARM
01100,1100,MAINLAND HOLD
01101,1101,HUARONG ENERGY
01102,1102,ENVIRO ENERGY
01104,1104,APAC RESOURCES
01105,1105,SING TAO
01107,1107,MODERN LAND
01108,1108,TRIUMPH NEW EN
01109,1109,CHINA RES LAND
01110,1110,KINGWORLD
01111,1111,HUASHI GROUP
01112,1112,H&H INTL HLDG
01113,1113,CK ASSET
01114,1114,BRILLIANCE CHI
01115,1115,5100 XIZANG
01116,1116,HC TECH GP
01117,1117,CH MODERN D
01118,1118,GOLIK HOLDINGS
01119,1119,IDREAMSKY
01120,1120,ARTS OPTICAL
01121,1121,GOLDENSOLAR
01122,1122,QINGLING MOTORS
01123,1123,CHINA-HK PHOTO
01124,1124,COASTAL GL
01125,1125,LAI FUNG HOLD
01126,1126,DREAM INT'L
01127,1127,LION ROCK GROUP
01128,1128,WYNN MACAU
01129,1129,WATER INDUSTRY
01130,1130,CHINA ENV RES
01132,1132,ORANGE SKY G H
01133,1133,HARBIN ELECTRIC
01134,1134,KELFRED
01137,1137,HK TECH VENTURE
01138,1138,COSCO SHIP ENGY
01140,1140,HK.AI CAPITAL
01141,1141,CMBC CAPITAL
01142,1142,E&P GLOBAL
01143,1143,CN ENGY STORAGE
01145,1145,COURAGE INV
01146,1146,HUICHENG INTL H
01147,1147,EDENSOFT
01148,1148,POWER XINCHEN
01150,1150,MILAN STATION
01152,1152,MOMENTUM FIN
01153,1153,JIAYUAN SER
